plate,row,column,species,nutrients,nitrogen1,phosphorus1,nitrogen,phosphorus,replaced,bottom3,bottom7,bottom10,bottom14,bottom17,totbottom,dayreplaced,turions3_area,turions7_area,turions10_area,turions14_area,turions17_area,turions_areaTOT
F,B,3,LM,HL,10,0.083,highN,lowP,Yes,0,0,0,0,0,0,10,0,0,0,0,0,0
D,A,1,LM,HL,10,0.083,highN,lowP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,A,2,LM,HM,10,0.83,highN,medP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,A,3,LM,HH,10,1.66,highN,highP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,A,4,LM,LL,0.5,0.083,lowN,lowP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
N,C,1,LM,MH,5,1.66,medN,highP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
N,C,2,LM,HL,10,0.083,highN,lowP,Yes,0,0,0,1,0,1,7,0,0,0,0,0,0
N,C,3,LM,MM,5,0.83,medN,medP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
N,C,4,LM,MM,5,0.83,medN,medP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
A,A,1,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,A,2,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,A,3,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,A,4,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,1,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,2,LM,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,3,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,C,4,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,1,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,2,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,3,LM,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,B,4,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,1,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,2,LM,HL,10,0.083,highN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,3,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,C,4,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,B,1,LM,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,B,2,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,B,4,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,1,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,2,LM,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,3,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,A,4,LM,HL,10,0.083,highN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,1,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,2,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,3,LM,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,C,4,LM,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,B,1,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,B,2,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,B,3,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,B,4,LM,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,A,1,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,A,2,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,A,3,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,A,4,LM,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
K,C,1,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
K,C,2,LM,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
K,C,3,LM,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
K,C,4,LM,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
L,B,1,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
L,B,2,LM,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
L,B,3,LM,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
M,A,1,LM,HL,10,0.083,highN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
M,A,2,LM,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
M,A,4,LM,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
D,C,1,SP,HL,10,0.083,highN,lowP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,C,2,SP,HM,10,0.83,highN,medP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,C,3,SP,HH,10,1.66,highN,highP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,C,4,SP,LL,0.5,0.083,lowN,lowP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
F,A,2,SP,MH,5,1.66,medN,highP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
N,B,1,SP,MH,5,1.66,medN,highP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
N,B,2,SP,HL,10,0.083,highN,lowP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
N,B,3,SP,MM,5,0.83,medN,medP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
N,B,4,SP,MM,5,0.83,medN,medP,Yes,0,0,0,0,0,0,7,0,0,0,0,0,0
A,C,1,SP,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,C,2,SP,LM,0.5,0.83,lowN,medP,No,0,0,0,2,0,2,NA,0,0,0,5.586216,0,5.586216
A,C,3,SP,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
A,C,4,SP,ML,5,0.083,medN,lowP,No,0,0,0,0,1,1,NA,0,0,0,0,2.793108,2.793108
B,B,1,SP,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,B,2,SP,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,B,3,SP,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
B,B,4,SP,LH,0.5,1.66,lowN,highP,No,0,0,2,0,0,2,NA,0,0,5.586216,0,0,5.586216
C,A,1,SP,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,A,2,SP,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,A,3,SP,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,A,4,SP,LM,0.5,0.83,lowN,medP,No,0,0,0,0,1,1,NA,0,0,0,0,2.793108,2.793108
E,B,1,SP,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,B,2,SP,HL,10,0.083,highN,lowP,No,0,0,1,0,0,1,NA,0,0,2.793108,0,0,2.793108
E,B,3,SP,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
E,B,4,SP,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,A,1,SP,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,A,3,SP,HL,10,0.083,highN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,A,4,SP,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,C,1,SP,ML,5,0.083,medN,lowP,No,0,0,1,1,0,2,NA,0,0,2.793108,2.793108,0,5.586216
G,C,2,SP,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,C,3,SP,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
G,C,4,SP,HL,10,0.083,highN,lowP,No,0,0,0,1,0,1,NA,0,0,0,2.793108,0,2.793108
H,B,1,SP,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,B,2,SP,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,B,3,SP,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
H,B,4,SP,MH,5,1.66,medN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,A,1,SP,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,A,2,SP,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,A,3,SP,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
I,A,4,SP,MM,5,0.83,medN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,C,1,SP,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,C,2,SP,LM,0.5,0.83,lowN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,C,3,SP,LH,0.5,1.66,lowN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
J,C,4,SP,ML,5,0.083,medN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
K,B,1,SP,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
K,B,2,SP,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
K,B,3,SP,LM,0.5,0.83,lowN,medP,No,0,0,1,0,0,1,NA,0,0,2.793108,0,0,2.793108
K,B,4,SP,LH,0.5,1.66,lowN,highP,No,0,1,0,0,1,2,NA,0,2.793108,0,0,2.793108,5.586216
L,A,1,SP,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
L,A,2,SP,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
L,A,3,SP,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
M,C,1,SP,HL,10,0.083,highN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
M,C,2,SP,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
M,C,4,SP,LL,0.5,0.083,lowN,lowP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,C,4,WB,LM,0.5,0.83,lowN,medP,Yes,6,25,19,14,6,70,3,1.099685,4.587876,3.486342,2.568397,1.099685,12.841985
D,B,1,WB,HL,10,0.083,highN,lowP,Yes,1,0,1,7,2,11,3,0.18174,0,0.18174,1.283274,0.365329,2.012083
D,B,2,WB,HM,10,0.83,highN,medP,Yes,0,0,0,0,0,0,3,0,0,0,0,0,0
D,B,3,WB,HH,10,1.66,highN,highP,Yes,1,0,0,0,0,1,3,0.18174,0,0,0,0,0.18174
D,B,4,WB,LL,0.5,0.083,lowN,lowP,Yes,9,0,19,16,13,57,3,1.650452,0,3.486342,2.935575,2.384808,10.457177
N,A,1,WB,MH,5,1.66,medN,highP,Yes,5,2,39,53,49,148,7,0.916096,0.365329,7.158122,9.728368,8.994012,27.161927
N,A,2,WB,HL,10,0.083,highN,lowP,Yes,6,11,9,32,19,77,7,1.099685,2.01763,1.650452,5.872999,3.486342,14.127108
N,A,3,WB,MM,5,0.83,medN,medP,Yes,2,0,6,21,34,63,7,0.365329,0,1.099685,3.85352,6.240177,11.558711
N,A,4,WB,MM,5,0.83,medN,medP,Yes,2,0,19,35,41,97,7,0.365329,0,3.486342,6.423766,7.5253,17.800737
A,B,1,WB,MH,5,1.66,medN,highP,No,0,26,49,45,61,181,NA,0,4.771465,8.994012,8.259656,11.19708,33.222213
A,B,2,WB,LM,0.5,0.83,lowN,medP,No,4,10,8,16,11,49,NA,0.732507,1.834041,1.466863,2.935575,2.01763,8.986616
A,B,3,WB,LH,0.5,1.66,lowN,highP,No,4,20,21,31,11,87,NA,0.732507,3.669931,3.85352,5.68941,2.01763,15.962998
A,B,4,WB,ML,5,0.083,medN,lowP,No,4,24,25,41,1,95,NA,0.732507,4.404287,4.587876,7.5253,0.18174,17.43171
B,A,1,WB,HH,10,1.66,highN,highP,No,0,0,0,0,41,41,NA,0,0,0,0,7.5253,7.5253
B,A,2,WB,LL,0.5,0.083,lowN,lowP,No,1,10,14,15,5,45,NA,0.18174,1.834041,2.568397,2.751986,0.916096,8.25226
B,A,3,WB,LM,0.5,0.83,lowN,medP,No,10,19,15,24,13,81,NA,1.834041,3.486342,2.751986,4.404287,2.384808,14.861464
B,A,4,WB,LH,0.5,1.66,lowN,highP,No,8,18,21,25,0,72,NA,1.466863,3.302753,3.85352,4.587876,0,13.211012
C,C,1,WB,HM,10,0.83,highN,medP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
C,C,2,WB,HH,10,1.66,highN,highP,No,0,0,0,0,1,1,NA,0,0,0,0,0.18174,0.18174
C,C,3,WB,LL,0.5,0.083,lowN,lowP,No,2,17,13,14,12,58,NA,0.365329,3.119164,2.384808,2.568397,2.201219,10.638917
E,A,1,WB,MH,5,1.66,medN,highP,No,1,0,9,59,50,119,NA,0.18174,0,1.650452,10.829902,9.177601,21.839695
E,A,2,WB,HL,10,0.083,highN,lowP,No,3,4,8,18,16,49,NA,0.548918,0.732507,1.466863,3.302753,2.935575,8.986616
E,A,3,WB,HM,10,0.83,highN,medP,No,0,0,0,3,0,3,NA,0,0,0,0.548918,0,0.548918
E,A,4,WB,HH,10,1.66,highN,highP,No,0,0,0,0,0,0,NA,0,0,0,0,0,0
F,C,1,WB,MM,5,0.83,medN,medP,No,0,0,6,9,38,53,NA,0,0,1.099685,1.650452,6.974533,9.72467
F,C,2,WB,MH,5,1.66,medN,highP,No,0,0,0,0,10,10,NA,0,0,0,0,1.834041,1.834041
F,C,3,WB,HL,10,0.083,highN,lowP,No,3,6,1,0,0,10,NA,0.548918,1.099685,0.18174,0,0,1.830343
F,C,4,WB,HM,10,0.83,highN,medP,No,0,0,20,0,4,24,NA,0,0,3.669931,0,0.732507,4.402438
G,B,1,WB,ML,5,0.083,medN,lowP,No,4,16,16,38,16,90,NA,0.732507,2.935575,2.935575,6.974533,2.935575,16.513765
G,B,2,WB,MM,5,0.83,medN,medP,No,0,0,1,41,14,56,NA,0,0,0.18174,7.5253,2.568397,10.275437
G,B,3,WB,MH,5,1.66,medN,highP,No,0,0,0,0,3,3,NA,0,0,0,0,0.548918,0.548918
G,B,4,WB,HL,10,0.083,highN,lowP,No,9,17,18,29,16,89,NA,1.650452,3.119164,3.302753,5.322232,2.935575,16.330176
H,A,1,WB,LH,0.5,1.66,lowN,highP,No,12,29,23,30,15,109,NA,2.201219,5.322232,4.220698,5.505821,2.751986,20.001956
H,A,2,WB,ML,5,0.083,medN,lowP,No,5,32,44,55,29,165,NA,0.916096,5.872999,8.076067,10.095546,5.322232,30.28294
H,A,3,WB,MM,5,0.83,medN,medP,No,0,0,14,42,15,71,NA,0,0,2.568397,7.708889,2.751986,13.029272
H,A,4,WB,MH,5,1.66,medN,highP,No,0,1,35,66,40,142,NA,0,0.18174,6.423766,12.115025,7.341711,26.062242
I,C,1,WB,LM,0.5,0.83,lowN,medP,No,12,29,15,21,10,87,NA,2.201219,5.322232,2.751986,3.85352,1.834041,15.962998
I,C,2,WB,LH,0.5,1.66,lowN,highP,No,2,16,17,26,7,68,NA,0.365329,2.935575,3.119164,4.771465,1.283274,12.474807
I,C,3,WB,ML,5,0.083,medN,lowP,No,1,15,9,37,9,71,NA,0.18174,2.751986,1.650452,6.790944,1.650452,13.025574
I,C,4,WB,MM,5,0.83,medN,medP,No,0,1,43,58,43,145,NA,0,0.18174,7.892478,10.646313,7.892478,26.613009
J,B,1,WB,ML,5,0.083,medN,lowP,No,2,24,24,35,22,107,NA,0.365329,4.404287,4.404287,6.423766,4.037109,19.634778
J,B,2,WB,LM,0.5,0.83,lowN,medP,No,2,13,16,17,13,61,NA,0.365329,2.384808,2.935575,3.119164,2.384808,11.189684
J,B,3,WB,LH,0.5,1.66,lowN,highP,No,5,20,12,14,7,58,NA,0.916096,3.669931,2.201219,2.568397,1.283274,10.638917
J,B,4,WB,ML,5,0.083,medN,lowP,No,4,24,32,50,9,119,NA,0.732507,4.404287,5.872999,9.177601,1.650452,21.837846
K,A,1,WB,HH,10,1.66,highN,highP,No,0,0,0,2,8,10,NA,0,0,0,0.365329,1.466863,1.832192
K,A,2,WB,LL,0.5,0.083,lowN,lowP,No,11,16,18,27,19,91,NA,2.01763,2.935575,3.302753,4.955054,3.486342,16.697354
K,A,3,WB,LM,0.5,0.83,lowN,medP,No,10,21,9,19,14,73,NA,1.834041,3.85352,1.650452,3.486342,2.568397,13.392752
K,A,4,WB,LH,0.5,1.66,lowN,highP,No,14,25,22,23,13,97,NA,2.568397,4.587876,4.037109,4.220698,2.384808,17.798888
L,C,1,WB,HM,10,0.83,highN,medP,No,1,1,1,3,5,11,NA,0.18174,0.18174,0.18174,0.548918,0.916096,2.010234
L,C,2,WB,HH,10,1.66,highN,highP,No,0,,0,5,1,6,NA,0,0,0,0.916096,0.18174,1.097836
L,C,3,WB,LL,0.5,0.083,lowN,lowP,No,11,21,6,25,9,72,NA,2.01763,3.85352,1.099685,4.587876,1.650452,13.209163
M,B,1,WB,HL,10,0.083,highN,lowP,No,7,6,5,25,13,56,NA,1.283274,1.099685,0.916096,4.587876,2.384808,10.271739
M,B,2,WB,HM,10,0.83,highN,medP,No,0,0,0,3,0,3,NA,0,0,0,0.548918,0,0.548918
M,B,4,WB,LL,0.5,0.083,lowN,lowP,No,17,24,15,21,8,85,NA,3.119164,4.404287,2.751986,3.85352,1.466863,15.59582
